Age,Gender,Province,Education,Count,cell
45 to 54,Male,British Columbia,Bachelor's degree or above,88640,Male 45 to 54
45 to 54,Female,British Columbia,No certificate,30035,Female 45 to 54
45 to 54,Female,British Columbia,High school,92595,Female 45 to 54
45 to 54,Female,British Columbia,College,91830,Female 45 to 54
45 to 54,Female,British Columbia,Some university,16400,Female 45 to 54
45 to 54,Female,British Columbia,Bachelor's degree or above,99915,Female 45 to 54
55 to 64,Male,British Columbia,No certificate,47300,Male 55 to 64
55 to 64,Male,British Columbia,High school,83950,Male 55 to 64
55 to 64,Male,British Columbia,College,55885,Male 55 to 64
55 to 64,Male,British Columbia,Some university,8585,Male 55 to 64
55 to 64,Male,British Columbia,Bachelor's degree or above,72410,Male 55 to 64
55 to 64,Female,British Columbia,No certificate,43025,Female 55 to 64
55 to 64,Female,British Columbia,High school,113995,Female 55 to 64
55 to 64,Female,British Columbia,College,86810,Female 55 to 64
55 to 64,Female,British Columbia,Some university,13710,Female 55 to 64
55 to 64,Female,British Columbia,Bachelor's degree or above,74695,Female 55 to 64
25 to 34,Male,Yukon,No certificate,315,Male 25 to 34
25 to 34,Male,Yukon,High school,640,Male 25 to 34
25 to 34,Male,Yukon,College,490,Male 25 to 34
25 to 34,Male,Yukon,Some university,55,Male 25 to 34
25 to 34,Male,Yukon,Bachelor's degree or above,640,Male 25 to 34
25 to 34,Female,Yukon,No certificate,195,Female 25 to 34
25 to 34,Female,Yukon,High school,650,Female 25 to 34
25 to 34,Female,Yukon,College,675,Female 25 to 34
25 to 34,Female,Yukon,Some university,80,Female 25 to 34
25 to 34,Female,Yukon,Bachelor's degree or above,1095,Female 25 to 34
35 to 44,Male,Yukon,No certificate,215,Male 35 to 44
35 to 44,Male,Yukon,High school,450,Male 35 to 44
35 to 44,Male,Yukon,College,490,Male 35 to 44
35 to 44,Male,Yukon,Some university,80,Male 35 to 44
35 to 44,Male,Yukon,Bachelor's degree or above,740,Male 35 to 44
35 to 44,Female,Yukon,No certificate,150,Female 35 to 44
35 to 44,Female,Yukon,High school,415,Female 35 to 44
35 to 44,Female,Yukon,College,765,Female 35 to 44
35 to 44,Female,Yukon,Some university,105,Female 35 to 44
35 to 44,Female,Yukon,Bachelor's degree or above,1120,Female 35 to 44
45 to 54,Male,Yukon,No certificate,415,Male 45 to 54
45 to 54,Male,Yukon,High school,565,Male 45 to 54
45 to 54,Male,Yukon,College,470,Male 45 to 54
45 to 54,Male,Yukon,Some university,65,Male 45 to 54
